gvkey,gvkeyx,from,thru,spii,co_conm,co_tic,co_cusip
005047,000005,1907-11-07,2018-06-25,,GENERAL ELECTRIC CO,GE,369604301
004503,000005,1928-10-01,2020-08-28,,EXXON MOBIL CORP,XOM,30231G102
003144,000005,1932-05-26,,,COCA-COLA CO,KO,191216100
006066,000005,1932-05-26,,,INTL BUSINESS MACHINES CORP,IBM,459200101
008762,000005,1932-05-26,,,PROCTER & GAMBLE CO,PG,742718109
004087,000005,1935-11-20,2017-08-31,,DU PONT (E I) DE NEMOURS,DD.2,263534109
001356,000005,1959-06-01,2013-09-22,,ALCOA INC,AA.3,013817507
010983,000005,1975-05-01,2020-08-28,,RTX CORP,RTX,75513E101
007435,000005,1976-08-09,,,3M CO,MMM,88579Y101
007257,000005,1979-06-29,,,MERCK & CO,MRK,58933Y105
001447,000005,1982-08-30,,,AMERICAN EXPRESS CO,AXP,025816109
007154,000005,1985-10-30,,,MCDONALD'S CORP,MCD,580135101
002285,000005,1987-03-12,,,BOEING CO,BA,097023105
002817,000005,1991-05-06,,,CATERPILLAR INC,CAT,149123101
003980,000005,1991-05-06,,,DISNEY (WALT) CO,DIS,254687106
006266,000005,1997-03-17,,,JOHNSON & JOHNSON,JNJ,478160104
011259,000005,1997-03-17,,,WALMART INC,WMT,931142103
005606,000005,1997-03-17,2013-09-22,,HP INC,HPQ,40434L105
005680,000005,1999-11-01,,,HOME DEPOT INC,HD,437076102
006008,000005,1999-11-01,,,INTEL CORP,INTC,458140100
012141,000005,1999-11-01,,,MICROSOFT CORP,MSFT,594918104
009899,000005,1999-11-01,2015-03-18,,AT&T INC,T,00206R102
002968,000005,2001-01-02,,,JPMORGAN CHASE & CO,JPM,46625H100
002136,000005,2004-04-08,,,VERIZON COMMUNICATIONS INC,VZ,92343V104
008530,000005,2004-04-08,2020-08-28,,PFIZER INC,PFE,717081103
002991,000005,2008-02-19,,,CHEVRON CORP,CVX,166764100
007647,000005,2008-02-19,2013-09-22,,BANK OF AMERICA CORP,BAC,060505104
142953,000005,2008-09-22,2012-09-23,,MONDELEZ INTERNATIONAL INC,MDLZ,609207105
020779,000005,2009-06-08,,,CISCO SYSTEMS INC,CSCO,17275R102
062689,000005,2009-06-08,,,TRAVELERS COS INC,TRV,89417E109
010903,000005,2012-09-24,,,UNITEDHEALTH GROUP INC,UNH,91324P102
007906,000005,2013-09-23,,,NIKE INC  -CL B,NKE,654106103
114628,000005,2013-09-23,,,GOLDMAN SACHS GROUP INC,GS,38141G104
179534,000005,2013-09-23,,,VISA INC,V,92826C839
001690,000005,2015-03-19,,,APPLE INC,AAPL,037833100
004060,000005,2017-09-01,2019-04-01,,DUPONT DE NEMOURS INC,DD,26614N102
011264,000005,2018-06-26,,,WALGREENS BOOTS ALLIANCE INC,WBA,931427108
034443,000005,2019-04-02,,,DOW INC,DOW,260557103
001300,000005,2020-08-31,,,HONEYWELL INTERNATIONAL INC,HON,438516106
001602,000005,2020-08-31,,,AMGEN INC,AMGN,031162100
157855,000005,2020-08-31,,,SALESFORCE INC,CRM,79466L302
